# https://aws.amazon.com/bedrock/pricing/
# Some models use an inference profile id as model_id, see cross-region inference.
model_id	model_name	input_cost	output_cost
us.anthropic.claude-3-7-sonnet	Claude 3.7 Sonnet	3.00	15.00
us.anthropic.claude-3-5-sonnet	Claude 3.5 Sonnet	3.00	15.00
us.anthropic.claude-3-5-haiku	Claude 3.5 Haiku	0.80	4.00
us.anthropic.claude-3-opus	Claude 3 Opus	15.00	75.00
us.anthropic.claude-3-haiku	Claude 3 Haiku	0.25	1.25
us.anthropic.claude-3-sonnet	Claude 3 Sonnet	3.00	15.00
anthropic.claude-v2	Claude 2.1	8.00	24.00
anthropic.claude-instant-v1	Claude Instant	0.80	2.40
us.meta.llama3-2-1b-instruct	Llama 3.2 Instruct (1B)	0.10	0.10
us.meta.llama3-2-3b-instruct	Llama 3.2 Instruct (3B)	0.15	0.15
us.meta.llama3-2-11b-instruct	Llama 3.2 Instruct (11B)	0.16	0.16
us.meta.llama3-2-90b-instruct	Llama 3.2 Instruct (90B)	0.72	0.72
us.meta.llama3-1-8b-instruct	Llama 3.1 Instruct (8B)	0.22	0.22
us.meta.llama3-1-70b-instruct	Llama 3.1 Instruct (70B)	0.72	0.72
meta.llama3-8b-instruct	Llama 3 Instruct (8B)	0.30	0.60
meta.llama3-70b-instruct	Llama 3 Instruct (70B)	2.65	3.50
mistral.mistral-7b-instruct	Mistral 7B	0.15	0.20
mistral.mixtral-8x7b-instruct	Mixtral 8*7B	0.45	0.70
mistral.mistral-small	Mistral Small (24.02)	1.00	3.00
mistral.mistral-large	Mistral Large (24.02)	4.00	12.00
openai.gpt-oss-20b-1:0	GPT-OSS 20B	0.075	0.30
amazon.nova-micro-v1:0	Nova Micro	0.035	0.14
us.anthropic.claude-sonnet-4-6	Claude Sonnet 4.6	3.00	15.00
us.deepseek.r1-v1:0	Deepseek R1	1.35	5.40
