# https://cloud.google.com/vertex-ai/pricing
# pricing for us-east1 only; some instances not available in us-east1 are missing from the list
instance_id	hourly_cost
e2-standard-2	0.0771
e2-standard-4	0.1541
e2-standard-8	0.3082
e2-standard-16	0.6165
e2-standard-32	1.2329
e2-highmem-2	0.1039
e2-highmem-4	0.2079
e2-highmem-8	0.4158
e2-highmem-16	0.8316
e2-highcpu-2	0.0569
e2-highcpu-4	0.1138
e2-highcpu-8	0.2276
e2-highcpu-16	0.4551
e2-highcpu-32	0.9102
n1-standard-2	0.1093
n1-standard-4	0.2186
n1-standard-8	0.4372
n1-standard-16	0.8744
n1-standard-32	1.7488
n1-highmem-2	0.1361
n1-highmem-4	0.2723
n1-highmem-8	0.5445
n1-highmem-16	1.089
n1-highcpu-2	0.0815
n1-highcpu-4	0.163
n1-highcpu-8	0.326
n1-highcpu-16	0.6519
n1-highcpu-32	1.3039
n2-standard-2	0.1117
n2-standard-4	0.2234
n2-standard-8	0.4467
n2-standard-16	0.8935
n2-standard-32	1.787
n2-highmem-2	0.1507
n2-highmem-4	0.3013
n2-highmem-8	0.6027
n2-highmem-16	1.2053
n2-highcpu-2	0.0825
n2-highcpu-4	0.1649
n2-highcpu-8	0.3298
n2-highcpu-16	0.6596
n2-highcpu-32	1.3192
n2d-standard-2	0.0972
n2d-standard-4	0.1943
n2d-standard-8	0.3887
n2d-standard-16	0.7773
n2d-standard-32	1.5547
n2d-highmem-2	0.1311
n2d-highmem-4	0.2622
n2d-highmem-8	0.5243
n2d-highmem-16	1.0486
n2d-highcpu-2	0.0717
n2d-highcpu-4	0.1435
n2d-highcpu-8	0.2869
n2d-highcpu-16	0.5739
n2d-highcpu-32	1.1477
c2-standard-4	0.24
c2-standard-8	0.4801
c2-standard-16	0.9601
c2-standard-30	1.8002
c2-standard-60	3.6004
c2d-standard-2	0.1044
c2d-standard-4	0.2088
c2d-standard-8	0.4177
c2d-standard-16	0.8353
c2d-standard-32	1.6707
c2d-standard-56	2.9237
c2d-standard-112	5.8474
c2d-highmem-2	0.1408
c2d-highmem-4	0.2817
c2d-highmem-8	0.5634
c2d-highmem-16	1.1267
c2d-highmem-32	2.2534
c2d-highmem-56	3.9435
c2d-highmem-112	7.887
c2d-highcpu-2	0.0862
c2d-highcpu-4	0.1724
c2d-highcpu-8	0.3448
c2d-highcpu-16	0.6896
c2d-highcpu-32	1.3793
c2d-highcpu-56	2.4138
c2d-highcpu-112	4.8275
c3-highcpu-4	0.1982
c3-highcpu-8	0.3965
c3-highcpu-22	1.0903
c3-highcpu-44	2.1806
c3-highcpu-88	4.3613
c3-highcpu-176	8.7226
