# https://aws.amazon.com/sagemaker-ai/pricing/
instance_id	hourly_cost
ml.t3.medium	0.05
ml.t3.large	0.10
ml.t3.xlarge	0.20
ml.t3.2xlarge	0.40
ml.t2.medium	0.05
ml.t2.large	0.11
ml.t2.xlarge	0.22
ml.t2.2xlarge	0.45
ml.m7i.large	0.12
ml.m7i.xlarge	0.24
ml.m7i.2xlarge	0.48
ml.m7i.4xlarge	0.97
ml.m7i.8xlarge	1.94
ml.m7i.12xlarge	2.90
ml.m7i.16xlarge	3.87
ml.m7i.24xlarge	5.81
ml.m7i.48xlarge	11.61
ml.m6i.large	0.12
ml.m6i.xlarge	0.23
ml.m6i.2xlarge	0.46
ml.m6i.4xlarge	0.92
ml.m6i.8xlarge	1.84
ml.m6i.12xlarge	2.77
ml.m6i.16xlarge	3.69
ml.m6i.24xlarge	5.53
ml.m6i.32xlarge	7.37
ml.m6id.large	0.14
ml.m6id.xlarge	0.29
ml.m6id.2xlarge	0.57
ml.m6id.4xlarge	1.14
ml.m6id.8xlarge	2.28
ml.m6id.12xlarge	3.42
ml.m6id.16xlarge	4.56
ml.m6id.24xlarge	6.83
ml.m6id.32xlarge	9.11
ml.m5.xlarge	0.23
ml.m5.2xlarge	0.46
ml.m5.4xlarge	0.92
ml.m5.12xlarge	2.77
ml.m5.24xlarge	5.53
ml.m5d.large	0.14
ml.m5d.xlarge	0.27
ml.m5d.2xlarge	0.54
ml.m5d.4xlarge	1.09
ml.m5d.8xlarge	2.17
ml.m5d.12xlarge	3.25
ml.m5d.16xlarge	4.34
ml.m5d.24xlarge	6.51
ml.m4.xlarge	0.24
ml.m4.2xlarge	0.48
ml.m4.4xlarge	0.96
ml.m4.10xlarge	2.40
ml.m4.16xlarge	3.84
ml.c7i.large	0.11
ml.c7i.xlarge	0.21
ml.c7i.2xlarge	0.43
ml.c7i.4xlarge	0.86
ml.c7i.8xlarge	1.71
ml.c7i.12xlarge	2.57
ml.c7i.16xlarge	3.43
ml.c7i.24xlarge	5.14
ml.c7i.48xlarge	10.28
ml.c6i.large	0.10
ml.c6i.xlarge	0.20
ml.c6i.2xlarge	0.41
ml.c6i.4xlarge	0.82
ml.c6i.8xlarge	1.63
ml.c6i.12xlarge	2.45
ml.c6i.16xlarge	3.26
ml.c6i.24xlarge	4.90
ml.c6i.32xlarge	6.53
ml.c6id.large	0.12
ml.c6id.xlarge	0.24
ml.c6id.2xlarge	0.48
ml.c6id.4xlarge	0.97
ml.c6id.8xlarge	1.94
ml.c6id.12xlarge	2.90
ml.c6id.16xlarge	3.87
ml.c6id.24xlarge	5.81
ml.c6id.32xlarge	7.74
ml.c5.xlarge	0.20
ml.c5.2xlarge	0.41
ml.c5.4xlarge	0.82
ml.c5.9xlarge	1.84
ml.c5.18xlarge	3.67
ml.c5d.xlarge	0.23
ml.c5d.2xlarge	0.46
ml.c5d.4xlarge	0.92
ml.c5d.9xlarge	2.07
ml.c5d.18xlarge	4.15
ml.c4.xlarge	0.24
ml.c4.2xlarge	0.48
ml.c4.4xlarge	0.96
ml.c4.8xlarge	1.91
ml.r7i.large	0.16
ml.r7i.xlarge	0.32
ml.r7i.2xlarge	0.64
ml.r7i.8xlarge	2.54
ml.r7i.12xlarge	3.81
ml.r7i.16xlarge	5.08
ml.r7i.24xlarge	7.62
ml.r7i.48xlarge	15.24
ml.r6i.large	0.15
ml.r6i.xlarge	0.30
ml.r6i.2xlarge	0.61
ml.r6i.4xlarge	1.21
ml.r6i.8xlarge	2.42
ml.r6i.12xlarge	3.63
ml.r6i.16xlarge	4.84
ml.r6i.24xlarge	7.26
ml.r6i.32xlarge	9.68
ml.r6id.large	0.18
ml.r6id.xlarge	0.36
ml.r6id.2xlarge	0.73
ml.r6id.4xlarge	1.45
ml.r6id.8xlarge	2.90
ml.r6id.12xlarge	4.36
ml.r6id.16xlarge	5.81
ml.r6id.24xlarge	8.71
ml.r6id.32xlarge	11.61
ml.r5.large	0.15
ml.r5.xlarge	0.30
ml.r5.2xlarge	0.61
ml.r5.4xlarge	1.21
ml.r5.8xlarge	2.42
ml.r5.12xlarge	3.63
ml.r5.16xlarge	4.84
ml.r5.24xlarge	7.26
ml.p5.48xlarge	113.07
ml.p4d.24xlarge	37.69
ml.p4de.24xlarge	47.11
ml.p3.2xlarge	3.83
ml.p3.8xlarge	14.69
ml.p3.16xlarge	28.15
ml.p3dn.24xlarge	35.89
ml.p2.xlarge	1.13
ml.p2.8xlarge	8.64
ml.p2.16xlarge	16.56
ml.g6.xlarge	1.13
ml.g6.2xlarge	1.22
ml.g6.4xlarge	1.65
ml.g6.8xlarge	2.52
ml.g6.12xlarge	5.75
ml.g6.16xlarge	4.25
ml.g6.24xlarge	8.34
ml.g6.48xlarge	16.69
ml.g6e.xlarge	2.61
ml.g6e.2xlarge	2.80
ml.g6e.4xlarge	3.76
ml.g6e.8xlarge	5.66
